follow_time,account_nb_followers,account_nb_following,account_nb_posts,hashtag,first_pic_liked,hours_before_unfollowing,unfollow_time,account_username
2020-11-20 13:41:13.131001,1507,1977,2,followers,0,16,2020-11-21 01:37:26.600694,arsul__
2020-11-20 13:41:42.513266,2817,3810,539,car,1,78,,m3_oldschool_67
2020-11-20 13:41:50.512695,191000,78,1263,car,0,95,,bentley_fan
2020-11-20 14:16:24.211964,9183,198,118,l4l,0,5,2020-11-20 14:31:37.136332,vishakha.m.13
2020-11-20 14:32:10.770057,4984,1643,71,follower4follower,0,56,2020-11-20 14:41:34.056385,frenk95ita
2020-11-20 14:32:13.244620,43,5,11,follower4follower,1,16,2020-11-20 14:41:34.056385,ely_vozza
2020-11-20 14:32:25.450003,252000,1870,3065,foodie,0,33,2020-11-20 14:41:34.056385,top_london_restaurants
2020-11-20 14:32:31.445344,2826,1051,109,foodie,0,62,2020-11-20 14:41:34.056385,anggunfriciil
2020-11-20 14:41:45.752625,2691,213,97,l4l,1,54,2020-11-20 16:26:02.543591,lerka_derkach
2020-11-20 14:41:48.487734,1569,745,68,l4l,0,13,2020-11-20 16:26:02.543591,chocconon
2020-11-20 14:42:00.712537,4377,1099,3,f2f,0,61,2020-11-20 16:26:02.543591,dian.gelbert
2020-11-20 14:42:19.887183,344,284,15,f2f,1,74,2020-11-20 16:26:02.543591,_bhupender_chandila_
2020-11-20 16:26:14.341353,48000,1819,1445,l4l,0,43,2020-11-20 16:36:34.854031,venitaaspen
2020-11-20 16:26:17.785219,2917,363,69,l4l,1,90,2020-11-20 16:36:34.854031,j.x.bby
2020-11-20 16:26:28.829877,118000,95,510,like4like,0,35,2020-11-20 16:36:34.854031,vogueclasy
2020-11-20 16:26:31.769327,8367,3544,500,like4like,1,18,2020-11-20 16:36:34.854031,thaisadren
2020-11-20 16:36:57.650639,487,297,415,followeraktif,1,53,2020-11-20 16:47:26.714401,hallat_e_dil
2020-11-20 16:37:00.349467,199,453,113,followeraktif,0,77,2020-11-20 16:47:26.714401,woles_art22
2020-11-20 16:37:12.728968,844000,326,4344,car,0,95,2020-11-20 16:47:26.714401,benz.c1ub
2020-11-20 16:37:22.204038,8698,7213,278,car,1,8,2020-11-21 01:23:02.515540,luxuriousupercars
2020-11-20 16:47:38.125911,295000,14,950,friends,0,40,2020-11-20 16:58:08.683473,friendsviids
2020-11-20 16:47:40.790880,5085,1294,2133,friends,0,9,2020-11-20 16:58:08.683473,dennysmall
2020-11-20 16:58:20.616093,719,90,59,selfie,1,92,2020-11-20 17:09:17.726748,allure._.2
2020-11-20 16:58:24.375258,1442,396,8,selfie,0,25,2020-11-20 17:09:17.726748,aishatiemenss
2020-11-20 16:58:36.936110,8367,3544,500,like4like,1,57,2020-11-20 17:09:17.726748,thaisadren
2020-11-20 16:58:58.632350,2196,1132,122,clothing,1,89,2020-11-20 19:31:29.250286,carolinalexh
2020-11-20 16:59:02.709442,1003,626,19,clothing,1,32,2020-11-20 17:09:17.726748,amrat_nokhriya
2020-11-20 16:59:07.349387,10900,647,60,clothing,0,73,2020-11-20 17:09:17.726748,atiannaah
2020-11-20 16:59:25.443035,976,234,113,instalife,1,5,2020-11-20 17:09:17.726748,thehappinessmuse
